Pressure (Pa),Time,SPressure,Altitude,SAltitude,Velocity,SVelocity
96488.1855,35,98101.56015392237,1348.6903159008718,897.399757481131,102.47581536906569,133.31780267874842
96303.3085,36,97712.3295031379,1401.2400175840255,1006.5757617710146,52.54970168315367,109.17600428988356
96183.2585,37,97387.30730251032,1435.4069595918677,1097.8087120564398,34.16694200784218,91.23295028542546
96159.2485,38,97137.85394200827,1442.2444912389851,1167.7898729564877,6.83753164711743,69.9811609000479
96237.281,39,96970.22455360662,1420.0275650564056,1214.6827031872588,-22.216926182579527,46.89283023077089
96707.877,40,96993.0504028853,1286.3507898198066,1207.6280364759125,-133.67677523659904,-7.0546667113462185
96561.416,41,96883.28976230825,1327.897715418246,1238.3294803601295,41.54692559843943,30.70144388421707
96782.308,42,96898.43612984661,1265.256300282089,1233.6922179227365,-62.64141513615709,-4.637262437393206
97000.799,43,96953.86726387727,1203.4095513963805,1217.740204795752,-61.846748885708394,-15.95201312698445
97000.799,44,96963.25361110183,1203.4095513963805,1214.8740741158779,0.0,-2.8661306798742183
97505.009,45,97152.27828888145,1061.1156390414797,1161.3553611242141,-142.29391235490084,-53.518712991663676
97748.7105,46,97310.55697110518,992.5537250494704,1116.6251276705439,-68.5619139920093,-44.73023345367016
97996.0135,47,97487.21675688415,923.1199269510563,1066.8146798309,-69.43379809841406,-49.8104478396437
98243.3165,48,97678.00518550733,853.8278653260301,1013.130587069922,-69.29206162502624,-53.68409276097816
98501.424,49,97883.98614840588,781.6589430428323,955.2892306991926,-72.16892228319773,-57.841356370729514
98775.138,50,98106.0107587247,705.2934165139387,893.0715836175189,-76.36552652889361,-62.217647081673675
99017.639,51,98327.13656697975,637.7792591967126,831.2108535626014,-67.51415731722614,-61.860730054917376
99299.7565,52,98566.79935358382,559.4038328210662,764.309381194191,-78.37542637564638,-66.90147236841042
99797.964,53,98892.74548286706,421.435426434008,673.6596452202251,-137.96840638705822,-90.64973597396589
100321.382,54,99262.21966629366,277.084932042549,571.2486234820566,-144.350494391459,-102.41102173816863
100585.492,55,99569.13173303494,204.4788879627597,486.27770932543086,-72.60604407978929,-84.97091415662562
100815.988,56,99855.38234642796,141.2396520259567,407.15182011564764,-63.239235936803,-79.12588920978328
101058.489,57,100134.80383714236,74.8329571986082,330.06297635986397,-66.4066948273485,-77.08884375578361
